color_1,color_2,recommendation_score
Dark Grey,Medium Grey,1468
Light Grey,Medium Grey,1451
Medium Grey,Warm Beige,1293
Dark Grey,Light Grey,1132
Dark Grey,Warm Beige,904
Tan,Warm Beige,724
Light Grey,Warm Beige,403
Medium Grey,Tan,328
Light Grey,Tan,280
Light Beige,Medium Grey,268
Light Beige,Warm Beige,263
Warm Beige,Warm Brown,227
Tan,Warm Brown,223
Dark Brown,Medium Grey,213
Light Grey,Navy Blue,206
Dark Grey,Tan,202
Dark Grey,Light Beige,184
Dark Brown,Dark Grey,178
Medium Grey,Warm Brown,176
Dark Grey,Navy Blue,176
Dark Brown,Warm Beige,172
Medium Grey,Navy Blue,145
Dark Brown,Light Grey,136
Dark Brown,Tan,134
Light Beige,Tan,129
Light Grey,Warm Brown,109
Light Beige,Light Grey,104
Black,Dark Grey,82
Navy Blue,Warm Beige,82
Cream,Medium Grey,66
Black,Medium Grey,62
Cream,Warm Beige,56
Dark Brown,Warm Brown,54
Black,Light Grey,54
Dark Teal,Medium Grey,50
Light Beige,Warm Brown,49
Cream,Light Grey,47
Black,Warm Beige,46
Cream,Dark Grey,44
Dark Teal,Light Grey,44
Light Grey,White,44
Dark Grey,Dark Teal,43
Blue,Light Grey,38
Medium Grey,White,38
Dark Brown,Light Beige,36
Dark Green,Dark Grey,33
Light Grey,Rose,33
Black,Tan,32
Dark Grey,White,32
Dark Teal,Warm Beige,31
Rose,Warm Beige,31
Dark Green,Medium Grey,28
Warm Beige,White,28
Dark Green,Light Grey,27
Medium Grey,Teal,27
Dark Grey,Warm Brown,24
Black,Dark Brown,23
Light Grey,Teal,22
Cream,Tan,21
Cream,Light Beige,21
Blue,Navy Blue,20
Black,Warm Brown,18
Blue,Medium Grey,18
Dark Green,Warm Beige,17
Navy Blue,Tan,15
Cream,Warm Brown,14
Dark Red,Light Grey,14
Medium Grey,Rose,14
Dark Grey,Ivory,13
Dark Grey,Rose,13
Light Beige,Navy Blue,13
Black,Light Beige,12
Tan,White,12
Mustard,Warm Beige,12
Mustard,Tan,11
Dark Red,Medium Grey,11
Ivory,Light Grey,11
Ivory,Medium Grey,11
Ivory,Warm Beige,11
Teal,Warm Beige,11
Dark Teal,Light Beige,10
Blue,Dark Grey,9
Blue,Warm Beige,9
Burnt Orange,Warm Beige,9
Green,Warm Beige,9
Light Beige,White,9
Peach,Tan,8
Dark Red,Warm Beige,8
Green,Light Grey,8
Light Grey,Mustard,8
Rose,Warm Brown,7
Dark Green,Tan,7
Burnt Orange,Medium Grey,7
Dark Green,Green,7
Dark Teal,Teal,7
Green,Medium Grey,7
Light Beige,Rose,7
Navy Blue,White,7
Dark Brown,Rose,6
Cream,Dark Brown,6
Navy Blue,Warm Brown,6
Blue,Tan,6
Rose,Tan,6
Burnt Orange,Tan,6
Dark Teal,Tan,6
Dark Red,Light Beige,6
Light Beige,Mustard,6
Medium Grey,Mustard,6
Dark Red,Tan,5
Burnt Orange,Light Grey,5
Cream,Navy Blue,5
Dark Grey,Teal,5
Medium Grey,Peach,5
Burnt Orange,Warm Brown,4
Dark Red,Warm Brown,4
Warm Brown,White,4
Green,Tan,4
Ivory,Tan,4
Cream,Rose,4
Dark Green,Light Beige,4
Green,Light Beige,4
Light Grey,Pink,4
Peach,Warm Beige,4
Dark Brown,White,3
Dark Brown,Navy Blue,3
Mustard,Warm Brown,3
Tan,Teal,3
Aqua,Light Grey,3
Burnt Orange,Light Beige,3
Dark Grey,Green,3
Dark Teal,Ivory,3
Dark Teal,Navy Blue,3
Lavender,Medium Grey,3
Light Beige,Teal,3
Navy Blue,Teal,3
Teal,White,3
Dark Brown,Teal,2
Black,Cream,2
Blue,Warm Brown,2
Peach,Warm Brown,2
Black,Dark Teal,2
Dark Teal,Warm Brown,2
Aqua,Teal,2
Blue,Light Beige,2
Burnt Orange,Dark Grey,2
Cream,Green,2
Cream,Mustard,2
Dark Green,Dark Teal,2
Dark Green,Teal,2
Dark Grey,Dark Red,2
Dark Purple,Light Grey,2
Dark Purple,Medium Grey,2
Dark Red,White,2
Dark Teal,White,2
Ivory,Light Beige,2
Light Beige,Peach,2
Light Grey,Peach,2
Medium Grey,Pink,2
Mustard,Peach,2
Navy Blue,Pink,2
Navy Blue,Rose,2
Pink,Warm Beige,2
Red,Warm Beige,2
Dark Brown,Dark Green,1
Dark Brown,Dark Teal,1
Dark Brown,Green,1
Dark Brown,Ivory,1
Dark Brown,Mustard,1
Teal,Warm Brown,1
Black,Blue,1
Black,Dark Red,1
Black,Navy Blue,1
Black,White,1
Blue,Dark Brown,1
Burnt Orange,Dark Brown,1
Dark Brown,Dark Red,1
Aqua,Dark Grey,1
Aqua,Green,1
Aqua,Tan,1
Aqua,Warm Beige,1
Blue,Cream,1
Blue,Dark Purple,1
Blue,Rose,1
Blue,White,1
Cream,Cream Yellow,1
Cream,Dark Green,1
Cream,Peach,1
Cream,Sky Blue,1
Cream,Teal,1
Cream Yellow,Light Beige,1
Cream Yellow,Medium Grey,1
Dark Grey,Dark Purple,1
Dark Grey,Lavender,1
Dark Grey,Light Pink,1
Dark Grey,Peach,1
Dark Grey,Pink,1
Dark Grey,Red,1
Dark Purple,Warm Beige,1
Dark Purple,White,1
Dark Red,Rose,1
Dark Teal,Sky Blue,1
Green,Teal,1
Lavender,Navy Blue,1
Lavender,Warm Beige,1
Light Beige,Light Pink,1
Light Beige,Red,1
Light Beige,Sky Blue,1
Medium Grey,Red,1
Medium Grey,Sky Blue,1
Pink,Rose,1
Sky Blue,Tan,1
Sky Blue,Warm Beige,1
Black,Dark Green,0
Black,Ivory,0
Black,Lavender,0
Black,Rose,0
Black,Teal,0
Dark Brown,Peach,0
Dark Brown,Pink,0
Dark Green,Warm Brown,0
Ivory,Warm Brown,0
Pink,Warm Brown,0
